,0,1,2
64,ENVERUS,newGIS Analyst - 22251,"['python', 'python', 'trading', 'database', 'api']"
65,ENVERUS,newProduct Manager 22199,"['trading', 'ui']"
66,ENVERUS,Onboarding Analyst -22229,"['trading', 'api', 'ui']"
67,ENVERUS,Event Marketing Manager - 22222,"['communications', 'trading', 'ui']"
68,ENVERUS,Compliance and Entitlements Manager 22154D,"['sql', 'communications', 'finance', 'trading', 'api', 'ui']"
69,ENVERUS,newAccount Director-Oilfield Services - 22239,"['trading', 'api', 'ui']"
70,ENVERUS,Principal Consultant - 22207,"['trading', 'ui']"
71,ENVERUS,Revenue Operations Business Partner - 22151,"['trading', 'api', 'ui']"
72,ENVERUS,Sales Director - 22189,"['trading', 'statistics', 'api', 'ui']"
73,KRYPITAL GROUP,Market Making Trader,"['programming', 'finance', 'trading', 'ui']"
74,KRYPITAL GROUP,Investment Director,"['programming', 'finance', 'economics', 'ui']"
75,KRYPITAL GROUP,Digital Marketing Specialist,"['statistics', 'ui']"
76,KRYPITAL GROUP,BTC Mining Manager,"['engineering', 'ui']"
77,KRYPITAL GROUP,Defi specialist,"['communications', 'ui']"
78,KRYPITAL GROUP,Senior Graphic Designer,['ui']
79,KRYPITAL GROUP,Financial Data Reporting Analyst,"['finance', 'api', 'ui']"
80,KRYPITAL GROUP,Marketing Manager,"['communications', 'ui']"
81,WORLD BANK GROUP,Cashier,"['finance', 'ui']"
82,WORLD BANK GROUP,Night Auditor ($20.27/Hr),"['ux', 'ui']"
83,WORLD BANK GROUP,CASHIER (FULL-TIME),['ui']
84,WORLD BANK GROUP,newInspection Panel Member,"['network', 'finance', 'ui']"
85,WORLD BANK GROUP,newPHLEBOTOMIST - LABORATORY ( PART TIME),"['api', 'ui']"
86,WORLD BANK GROUP,Communications Center Associate (Contact Center Associate),"['network', 'communications', 'ui']"
87,WORLD BANK GROUP,Group Sales Associate,['ui']
88,WORLD BANK GROUP,"Sportsbook Associate, Washington, D.C.","['network', 'api', 'ui']"
89,WORLD BANK GROUP,Hospital Assistance Interviewer,"['network', 'ui']"
90,WORLD BANK GROUP,WOMEN'S SERVICES FACILTATOR - LABOR & DELIVERY ( FULL TIME),"['api', 'ui']"
91,WORLD BANK GROUP,PATIENT CARE TECH - ICU (PART TIME),"['api', 'ui']"
92,WORLD BANK GROUP,Box Office 1st Assistant Treasurer,['ui']
93,WORLD BANK GROUP,Executive Assistant,"['communications', 'finance', 'ui']"
94,WORLD BANK GROUP,Fraud Client Services Representative - 2nd Shift - Hunt Vall...,"['finance', 'ui']"
95,WORLD BANK GROUP,Member Services Representative,"['communications', 'ui']"
96,D.A. DAVIDSON COMPANIES,Computer Support Specialist,"['network', 'database', 'ui', 'operating systems']"
97,D.A. DAVIDSON COMPANIES,Information Security Engineer,"['python', 'python', 'network', 'ui', 'operating systems']"
98,D.A. DAVIDSON COMPANIES,Compliance Examiner,"['communications', 'finance', 'series 7', 'ui']"
99,D.A. DAVIDSON COMPANIES,IT Systems Engineer,"['network', 'cloud computing', 'api', 'ui']"
100,D.A. DAVIDSON COMPANIES,IT Service Desk Manager,"['ui', 'operating systems']"
101,D.A. DAVIDSON COMPANIES,newResearch Associate - Health and Beauty Consumer - June 2022...,"['trading', 'api', 'ui']"
102,D.A. DAVIDSON COMPANIES,Compliance Analyst,"['communications', 'finance', 'series 7', 'ui']"
103,D.A. DAVIDSON COMPANIES,Retirement Plan Consultant,"['series 7', 'ui']"
104,D.A. DAVIDSON COMPANIES,Atlassian Support Engineer,['ui']
105,D.A. DAVIDSON COMPANIES,Metadata Analyst,"['sql', 'ui']"
106,D.A. DAVIDSON COMPANIES,Senior Information Security Engineer,"['python', 'python', 'network', 'ui', 'operating systems']"
107,D.A. DAVIDSON COMPANIES,Davidson Investment Advisors - Operations Associate,"['finance', 'trading', 'ui']"
108,D.A. DAVIDSON COMPANIES,newAdvisor Recruit Liaison,"['communications', 'ui']"
109,D.A. DAVIDSON COMPANIES,Compliance Officer - Capital Markets,"['finance', 'trading', 'series 7', 'api', 'ui']"
110,D.A. DAVIDSON COMPANIES,Operations Cashiering Associate,['ui']
111,CITADEL SECURITIES,Systematic Trader,"['python', 'python', 'sql', 'mathematics', 'engineering', 'trading', 'ux', 'ui']"
112,CITADEL SECURITIES,FPGA Engineer,"['python', 'python', 'communications', 'electrical engineering', 'engineering', 'computer engineering', 'computer science', 'trading', 'phd', 'fpga', 'ui']"
113,CITADEL SECURITIES,Semi-Systematic Trader,"['python', 'python', 'sql', 'mathematics', 'engineering', 'trading', 'ux', 'ui']"
114,CITADEL SECURITIES,Quantitative Research Analyst – Full Time,"['python', 'c++', 'python', 'sql', 'mathematics', 'computer science', 'machine learning', 'trading', 'database', 'physics', 'masters', 'statistics', 'ui']"
115,CITADEL SECURITIES,Software Engineering Team Lead,"['c++', 'engineering', 'computer science', 'trading', 'ui']"
116,CITADEL SECURITIES,Quantitative Researcher / Quantitative Research Analyst,"['python', 'c++', 'python', 'mathematics', 'programming', 'computer science', 'machine learning', 'trading', 'physics', 'statistics', 'ui']"
117,CITADEL SECURITIES,Software Engineer,"['python', 'c++', 'c#', 'python', 'javascript', 'java', 'programming', 'network', 'communications', 'computer science', 'machine learning', 'trading', 'phd', 'ui']"
118,CITADEL SECURITIES,Quantitative Developer,"['python', 'c++', 'python', 'mathematics', 'programming', 'network', 'communications', 'computer science', 'machine learning', 'trading', 'phd', 'statistics', 'ui']"
119,CITADEL SECURITIES,Senior Python Software Engineer,"['python', 'c++', 'python', 'sql', 'javascript', 'java', 'computer science', 'finance', 'trading', 'ux', 'ui']"
120,CITADEL SECURITIES,Quantitative Researcher – PhD – Full Time,"['python', 'c++', 'python', 'sql', 'mathematics', 'computer science', 'machine learning', 'trading', 'database', 'physics', 'phd', 'statistics', 'ui']"
121,CITADEL SECURITIES,Senior UI Developer,"['javascript', 'java', 'communications', 'computer science', 'finance', 'trading', 'ux', 'ui', 'html']"
122,CITADEL SECURITIES,C++ Senior Software Engineer,"['c++', 'computer science', 'trading', 'ui']"
123,CITADEL SECURITIES,Software Development Engineer in Test,"['python', 'c++', 'python', 'sql', 'programming', 'network', 'trading', 'database', 'api', 'ui']"
124,CITADEL SECURITIES,newStore Associate - Shortage Control,"['api', 'ui']"
125,TC ENERGY,Pipeline Technician - Nashville Area (Antioch),"['network', 'ux', 'ui']"
126,TC ENERGY,newMechanical Technician,"['network', 'ux', 'ui']"
127,TC ENERGY,State Government and Community Relations Advisor,"['communications', 'ui']"
128,TC ENERGY,Safety Advisor,['ui']
129,TC ENERGY,Natural Gas Fundamentals Analyst,"['python', 'python', 'sql', 'programming', 'network', 'engineering', 'finance', 'trading', 'database', 'economics', 'ui']"
130,TC ENERGY,Process Safety Assurance Engineer,"['network', 'engineering', 'ui']"
131,TC ENERGY,"newSenior Originator, Energy Origination and Development","['communications', 'engineering', 'trading', 'economics', 'api', 'ui']"
132,TC ENERGY,newCompressor Station Operator,"['network', 'ux', 'ui']"
133,TC ENERGY,E&I Controls or Measurement Technician,"['network', 'ui']"
134,TC ENERGY,Continuous Improvement Engineer,"['network', 'engineering', 'ui']"
135,TC ENERGY,NDE Technician,"['network', 'engineering', 'ui']"
136,TC ENERGY,Automation Engineer,"['communications', 'electrical engineering', 'engineering', 'api', 'ui']"
137,TC ENERGY,Power Fundamentals Analyst,"['programming', 'network', 'engineering', 'finance', 'trading', 'database', 'economics', 'ui']"
138,TC ENERGY,newAtmospheric Corrosion Project Manager,"['engineering', 'ui']"
139,TC ENERGY,newDrafting Coordinator,"['engineering', 'ui']"
140,JUMP TRADING,"Quantitative Researcher, Crypto","['python', 'c++', 'python', 'java', 'programming', 'network', 'finance', 'trading', 'ui']"
141,JUMP TRADING,"Quantitative Developer, Crypto","['python', 'c++', 'python', 'programming', 'network', 'trading', 'ui']"
142,JUMP TRADING,"Senior Software Engineer, Jump Liquidity","['c++', 'programming', 'network', 'engineering', 'computer engineering', 'computer science', 'trading', 'ux', 'ui', 'operating systems']"
143,JUMP TRADING,Travel Partner,['ui']
144,JUMP TRADING,Senior HR Business Partner - Trading,"['network', 'trading', 'ui']"
145,JUMP TRADING,Talent Development Specialist - US Technology,['engineering']
146,JUMP TRADING,newSr. HR Business Partner - New York,"['network', 'ui']"
147,JUMP TRADING,Legal Counsel,"['communications', 'trading', 'ui']"
148,JUMP TRADING,Database Engineer,"['python', 'python', 'sql', 'programming', 'engineering', 'finance', 'trading', 'database', 'ux']"
149,JUMP TRADING,Platform Reliability Engineer - Weekend Shift,"['python', 'python', 'trading', 'ui']"
150,JUMP TRADING,Paralegal,"['communications', 'trading', 'api', 'ui']"
151,JUMP TRADING,Field Engineer,"['network', 'communications', 'engineering', 'trading', 'ui']"
152,JUMP TRADING,Tax Specialist,"['finance', 'ui']"
153,JUMP TRADING,Workplace Coordinator,['ui']
154,JUMP TRADING,Financial Systems Analyst,"['finance', 'ui']"
155,TEACHERS' RETIREMENT SYSTEM,Human Resources Manager,['ui']
156,TEACHERS' RETIREMENT SYSTEM,newBaby Imaging Specialist,"['api', 'ui']"
157,TEACHERS' RETIREMENT SYSTEM,newChief Academic Officer,"['computer science', 'ui']"
158,TEACHERS' RETIREMENT SYSTEM,Benefits Assistant,['ui']
159,TEACHERS' RETIREMENT SYSTEM,Child Care Assistant FT 4510,['ui']
160,TEACHERS' RETIREMENT SYSTEM,E- Learning Virtual Service Desk Agent,"['ui', 'operating systems']"
161,TEACHERS' RETIREMENT SYSTEM,"newTeam Lead, EOL - GPE","['programming', 'network', 'communications', 'finance', 'api', 'ui']"
162,TEACHERS' RETIREMENT SYSTEM,Chief Operations Officer,"['finance', 'api', 'ui', 'html']"
163,TEACHERS' RETIREMENT SYSTEM,newBoard-Certified Behavior Analyst,"['network', 'masters', 'ui']"
164,TEACHERS' RETIREMENT SYSTEM,newMiddle School Humanities Digital Learning Creator,"['network', 'masters', 'ui']"
165,TEACHERS' RETIREMENT SYSTEM,EveryAction Researcher,['ui']
166,TEACHERS' RETIREMENT SYSTEM,"Family Support Worker, Parents as Teachers","['network', 'database', 'ui']"
167,TEACHERS' RETIREMENT SYSTEM,Human Resources Manager (Immediate Opening),['ui']
168,TEACHERS' RETIREMENT SYSTEM,"2022 Director, Professional Learning and Support","['network', 'ui']"
169,TEACHERS' RETIREMENT SYSTEM,newMiddle School Humanities Digital Learning Creator,"['network', 'masters', 'ui']"
170,VECO POWER TRADING,newTraders,"['sql', 'trading', 'database', 'ui']"
171,POLARIS7,Quantitative Data Analyst,"['python', 'c#', 'python', 'sql', 'mathematics', 'programming', 'communications', 'machine learning', 'trading', 'database', 'statistics', 'ui']"
172,POLARIS7,Quantitative Trader,"['python', 'python', 'sql', 'mathematics', 'programming', 'trading', 'statistics', 'ui']"
173,POLARIS7,Senior Software Engineer (C#),"['c#', 'sql', 'computer science', 'trading', 'ui']"
174,POLARIS7,Senior C++ Developer,"['python', 'c++', 'python', 'java', 'programming', 'network', 'engineering', 'computer science', 'trading', 'ux', 'ui']"
175,QUANTEAM,C# Developer,"['c++', 'c#', 'java', 'mathematics', 'programming', 'engineering', 'finance', 'trading', 'database', 'ui']"
176,QUANTEAM,Support d’application Post-Trade,"['sql', 'ux', 'ui']"
177,QUANTEAM,Automation Test Engineer,"['python', 'python', 'javascript', 'java', 'programming', 'computer science', 'ui']"
178,QUANTEAM,Excel VBA Developer for Investment Banking,"['sql', 'trading', 'api', 'ui']"
179,QUANTEAM,Quant Analyst,"['python', 'python', 'java', 'programming', 'engineering', 'computer science', 'machine learning', 'finance', 'physics', 'statistics', 'ui']"
180,QUANTEAM,Quantitative Developer,"['python', 'c++', 'c#', 'python', 'java', 'engineering', 'ui']"
181,QUANTEAM,Support Applicatif Front Office,"['python', 'python', 'sql', 'finance', 'trading', 'ux', 'ui']"
182,QUANTEAM,eTrading Developer,"['c++', 'c#', 'trading', 'ui']"
183,QUANTEAM,Quantitative Analyst,"['python', 'c++', 'c#', 'python', 'java', 'finance', 'trading', 'phd', 'statistics', 'ui']"
184,QUANTEAM,C++ Developer-Trading,"['python', 'c++', 'python', 'mathematics', 'network', 'computer science', 'trading', 'fpga', 'ux', 'ui']"
185,QUANTEAM,Développeur Commando Front Office,"['python', 'c#', 'python', 'trading', 'api', 'ux', 'ui']"
186,QUANTEAM,Developer Java,"['sql', 'java', 'programming', 'network', 'engineering', 'computer science', 'database', 'api', 'ui']"
187,QUANTEAM,DevOps C# - CIB,"['c#', 'programming', 'computer science', 'finance', 'trading', 'api', 'ui']"
188,QUANTEAM,Market Data Engineer,"['python', 'python', 'network', 'engineering', 'cloud computing', 'trading', 'api', 'ux', 'ui']"
189,QUANTEAM,Cloud Engineer,"['python', 'python', 'javascript', 'java', 'network', 'engineering', 'cloud computing', 'microsoft azure', 'amazon web services', 'api', 'ux', 'ui']"
190,FRANKLIN TEMPLETON INVESTMENTS,newDigital Services Specialist (Client Care Team),"['network', 'communications', 'ui']"
191,FRANKLIN TEMPLETON INVESTMENTS,ESG Associate,"['portfolio management', 'trading', 'ui']"
192,FRANKLIN TEMPLETON INVESTMENTS,Investment Research Analyst - Crypto Currencies,"['python', 'c++', 'python', 'sql', 'java', 'mathematics', 'programming', 'engineering', 'cfa', 'trading', 'database', 'economics', 'ui']"
193,FRANKLIN TEMPLETON INVESTMENTS,Operations Specialist - Trade Support,"['trading', 'ui']"
194,FRANKLIN TEMPLETON INVESTMENTS,Alternatives Product Marketing Manager,"['cfa', 'api', 'ui']"
195,FRANKLIN TEMPLETON INVESTMENTS,Sr Analyst-Perf & Risk Systems,"['python', 'python', 'sql', 'mathematics', 'programming', 'engineering', 'computer science', 'finance', 'cfa', 'statistics', 'ui']"
196,FRANKLIN TEMPLETON INVESTMENTS,Wealth Management ETF Specialist - Midwest Territory,"['cfa', 'series 7', 'ui']"
197,FRANKLIN TEMPLETON INVESTMENTS,Private Wealth Consultant,"['network', 'cfa', 'cfp', 'series 7', 'ui']"
198,FRANKLIN TEMPLETON INVESTMENTS,Lead OnBoarding Engineer,"['network', 'communications', 'ui']"
199,FRANKLIN TEMPLETON INVESTMENTS,Compliance Officer - Marketing Review,"['communications', 'series 7', 'ui']"
200,FRANKLIN TEMPLETON INVESTMENTS,K2 Research Associate,"['finance', 'database', 'economics', 'api']"
201,FRANKLIN TEMPLETON INVESTMENTS,Investment Writer – Franklin Equity Group,"['communications', 'data analytics', 'portfolio management', 'economics', 'api', 'ui']"
202,FRANKLIN TEMPLETON INVESTMENTS,Social Media Strategist,"['communications', 'portfolio management', 'ui']"
203,FRANKLIN TEMPLETON INVESTMENTS,newProduct Support Technician,"['sql', 'ui']"
204,FRANKLIN TEMPLETON INVESTMENTS,newSenior Compliance Analyst - Marketing Review,"['communications', 'series 7', 'ui']"
205,MORGAN STANLEY,Receptionist,"['series 7', 'ui']"
206,MORGAN STANLEY,newClient Service Associate*,"['series 7', 'ui']"
207,MORGAN STANLEY,Wire Room Services Team Associate,"['network', 'ui']"
208,MORGAN STANLEY,Client Processing Representative,"['trading', 'ui']"
209,MORGAN STANLEY,Training Specialist-Fully Remote- WFH,"['network', 'ui']"
210,MORGAN STANLEY,newCapital Markets & Core Processing Associate - Wealth Managem...,"['network', 'api', 'ui']"
211,MORGAN STANLEY,Registered Client Service Associate,"['series 7', 'ui']"
212,MORGAN STANLEY,New Account Processing Associate - Wealth Management Operati...,['ui']
213,MORGAN STANLEY,Global Financial Crimes: US Investigations Professional,"['network', 'communications', 'database', 'ui']"
214,MORGAN STANLEY,Derivatives Client Service Associate,"['trading', 'ui']"
215,MORGAN STANLEY,newPractice Management Consultant,"['network', 'ui']"
216,MORGAN STANLEY,newSenior Registered Service Associate,"['series 7', 'ui']"
217,MORGAN STANLEY,"newRelationship Manager, Morgan Stanley at Work","['communications', 'finance', 'statistics', 'ui']"
218,MORGAN STANLEY,Client Operations Associate,"['trading', 'api', 'ui']"
219,MORGAN STANLEY,Client Operations AVP,"['trading', 'ui']"
220,AXA,Agent Général AXA Prévoyance & Patrimoine (F/H) - Côtes d'Ar...,"['finance', 'ux', 'ui']"
221,AXA,newConseiller commercial en contrat de qualification (F/H) Côte...,"['ux', 'ui']"
222,AXA,Jurisdictional Boiler Inspector - Northern CA,"['engineering', 'ui']"
223,AXA,VIE - Hedge Fund Analyst,"['engineering', 'finance', 'ui']"
224,AXA,Insurance Sales Agent,['ui']
225,AXA,newInvestment Guidelines & Risk Manager,"['database', 'ui']"
226,AXA,Compliance Officer,['ui']
227,AXA,newInvestment Associate - Global Health Private Equity,"['finance', 'portfolio management', 'database', 'ui']"
228,AXA,Junior High Yield Trader,"['trading', 'ui']"
229,AXA,Senior Compliance Officer,"['finance', 'ui']"
230,AXA,Financial Advisor - Entry Level,"['network', 'cfp', 'series 7', 'ui']"
231,AXA,Local Security Officer,"['computer science', 'ui']"
232,AXA,Asset Management Analyst,"['finance', 'ui']"
233,AXA,newReal Estate Asset Management Analyst,"['mathematics', 'finance', 'economics', 'ui']"
234,AXA,HR Co-ordinator,"['communications', 'finance', 'ui']"
235,KERSHNER TRADING GROUP,Remote Trader,"['trading', 'api', 'ui']"
236,KERSHNER TRADING GROUP,Experienced Futures Trader,"['trading', 'api', 'ui']"
237,KERSHNER TRADING GROUP,NYC - New/Developing US Equity Trader,"['trading', 'api', 'ui']"
238,KERSHNER TRADING GROUP,Data Scientist - remote,"['python', 'c++', 'python', 'programming', 'trading', 'api', 'ux', 'ui']"
239,KERSHNER TRADING GROUP,New/Developing US Equity Trader - Austin Texas,"['trading', 'ui']"
240,KERSHNER TRADING GROUP,Experienced Futures Trader,"['trading', 'api', 'ui']"
241,KERSHNER TRADING GROUP,"Experienced Equities Trader - Miami, FL","['trading', 'api', 'ui']"
242,KERSHNER TRADING GROUP,Experienced Quant Trader 1,"['trading', 'api', 'ui']"
243,KERSHNER TRADING GROUP,Data Scientist,"['python', 'c++', 'python', 'programming', 'trading', 'api', 'ux', 'ui']"
244,KERSHNER TRADING GROUP,Experienced US Equities Trader - NYC,"['trading', 'api', 'ui']"
245,KERSHNER TRADING GROUP,Quantitative Trading Director,"['programming', 'machine learning', 'trading', 'api', 'ui']"
246,KERSHNER TRADING GROUP,Quantitative Trading Director,"['programming', 'machine learning', 'trading', 'api', 'ui']"
247,KERSHNER TRADING GROUP,"Experienced US Equities Trader - Coral Gables, FL","['trading', 'api', 'ui']"
248,KERSHNER TRADING GROUP,"Experienced US Equities Trader - Coral Gables, FL","['trading', 'api', 'ui']"
249,KERSHNER TRADING GROUP,SALES REPRESTENATIVE – CloudQuant “ALTERNATIVE DATA” SOLUTIO...,"['python', 'python', 'engineering', 'artificial intelligence', 'trading', 'statistics', 'ui']"
250,SHELL,newOffice Assistant and Sales Associate,['ui']
251,SHELL,Server,['ui']
252,SHELL,Cashier,['ui']
253,SHELL,Tire and Lube Technician,['ui']
254,SHELL,Shell Graduate Program 2022 - United States,['ui']
255,SHELL,"newShell Pipeline Controller - Houston, TX",['ui']
256,SHELL,WAREHOUSE/FORKLIFT OPERATOR,[]
257,SHELL,Retail Cashier Shell Station,['ui']
258,SHELL,newOperations Technician,"['communications', 'engineering', 'api', 'ui']"
259,SHELL,Cashier/Customer Service,['ui']
260,SHELL,newTerminal Operator,['ui']
261,SHELL,Barback,['ui']
262,SHELL,Bartender,['ui']
263,SHELL,Host,['ui']
264,SHELL,Cashier/Customer Service,['ui']
265,UNIPER,Trading Associate,"['python', 'python', 'sql', 'finance', 'trading', 'ui']"
266,UNIPER,newIT Security Manager,"['microsoft azure', 'trading', 'ui']"
267,UNIPER,newNE/MW Physical Gas Scheduler,"['finance', 'trading', 'ui']"
268,UNIPER,Accountant,"['sql', 'communications', 'finance', 'trading', 'economics', 'ui']"
269,EDF,"Program Assistant, Natural Climate Solutions","['api', 'ui']"
270,EDF,Member Services Associate,"['communications', 'database', 'ui']"
271,EDF,Major and Planned Gifts Officer,"['network', 'ui']"
272,EDF,"Director, Board & External Relations, EDF Action","['communications', 'ui']"
273,EDF,"Communications Assistant, Energy Transition","['communications', 'database', 'ui']"
274,EDF,Communications Associate,"['communications', 'api', 'ui']"
275,EDF,newIT Service Transition Manager,['ui']
276,EDF,newRisk Officer,"['sql', 'mathematics', 'finance', 'statistics', 'economics', 'api', 'ui']"
277,EDF,"Clean Energy Legal Fellow, Legal & Regulatory","['network', 'economics', 'ui']"
278,EDF,"Legislative Analyst, Coastal and Flood Resilience","['communications', 'database', 'ui']"
279,EDF,Climate Scientist,"['network', 'communications', 'ui']"
280,EDF,"Communications Manager, Advocacy","['communications', 'api', 'ui']"
281,EDF,"Project Manager – Global Clean Air, US Region","['communications', 'economics', 'ui']"
282,EDF,"Program Coordinator, Political Affairs","['communications', 'database', 'ui']"
283,EDF,"Energy Analyst, EDF+Business","['economics', 'ui']"
284,ASSURED INVESTMENT MANAGEMENT,Senior Compliance Manager,"['network', 'trading', 'ui']"
285,ASSURED INVESTMENT MANAGEMENT,Facilities Manager,"['finance', 'api', 'ui']"
286,ASSURED INVESTMENT MANAGEMENT,C.H.O.I.C.E.S. INFANT MENTAL HEALTH (IMH) SUPERVISOR,"['network', 'api', 'ui']"
287,ASSURED INVESTMENT MANAGEMENT,Project Manager,"['machine learning', 'api', 'ui']"
288,ASSURED INVESTMENT MANAGEMENT,Claims Manager,['ui']
289,ASSURED INVESTMENT MANAGEMENT,Lead Laboratory Technician,[]
290,ASSURED INVESTMENT MANAGEMENT,Senior Director of Wellness Program,"['machine learning', 'finance', 'api', 'ui']"
291,ASSURED INVESTMENT MANAGEMENT,newProvider Development Manager,"['network', 'machine learning', 'database', 'ui']"
292,ASSURED INVESTMENT MANAGEMENT,Executive Assistant,"['finance', 'trading', 'ui']"
293,ASSURED INVESTMENT MANAGEMENT,C.H.O.I.C.E.S. INFANT MENTAL HEALTH (IMH) FIELD SUPERVISOR,"['network', 'api', 'ui']"
294,ASSURED INVESTMENT MANAGEMENT,Structured Finance Analyst/Associate,"['finance', 'api', 'ui']"
295,ASSURED INVESTMENT MANAGEMENT,newBusiness Development Director,"['communications', 'machine learning', 'finance', 'ui']"
296,ASSURED INVESTMENT MANAGEMENT,Billing Manager,['ui']
297,ASSURED INVESTMENT MANAGEMENT,HCM Business Partner,"['programming', 'api', 'ui']"
